Time,yP
31-Jan-2010,18.7473014
28-Feb-2010,18.3633312
31-Mar-2010,19.0952258
30-Apr-2010,19.3594095
31-May-2010,18.6434927
30-Jun-2010,19.6618473
31-Jul-2010,19.737313
31-Aug-2010,19.5195082
30-Sep-2010,19.7670512
31-Oct-2010,20.9600847
30-Nov-2010,20.7134198
31-Dec-2010,20.99453
31-Jan-2011,20.639244
28-Feb-2011,20.9798353
31-Mar-2011,20.3434051
30-Apr-2011,21.1361042
31-May-2011,19.8494681
30-Jun-2011,20.1698957
31-Jul-2011,21.2919612
31-Aug-2011,20.267772
30-Sep-2011,20.32532
31-Oct-2011,19.8160816
30-Nov-2011,18.4476748
31-Dec-2011,19.027018
31-Jan-2012,18.6478428
29-Feb-2012,18.9165061
31-Mar-2012,18.3578193
30-Apr-2012,16.8482134
31-May-2012,18.2540175
30-Jun-2012,18.3514004
31-Jul-2012,19.1379313
31-Aug-2012,18.7314355
30-Sep-2012,19.8197898
31-Oct-2012,18.0313045
30-Nov-2012,17.5949148
31-Dec-2012,18.4343484
31-Jan-2013,17.5610112
28-Feb-2013,15.9373603
31-Mar-2013,19.3235044
30-Apr-2013,17.4612143
31-May-2013,18.2301528
30-Jun-2013,19.370971
31-Jul-2013,20.1645405
31-Aug-2013,20.4137939
30-Sep-2013,18.6766735
31-Oct-2013,19.9368549
30-Nov-2013,21.0273784
31-Dec-2013,19.5130253
31-Jan-2014,20.2391188
28-Feb-2014,20.8851716
31-Mar-2014,20.1669311
30-Apr-2014,20.3896568
31-May-2014,21.2495061
30-Jun-2014,21.0623302
31-Jul-2014,20.8882366
31-Aug-2014,19.6993384
30-Sep-2014,19.2997722
31-Oct-2014,20.1871949
30-Nov-2014,21.3427128
31-Dec-2014,20.8619086
31-Jan-2015,21.2573342
28-Feb-2015,21.6193354
31-Mar-2015,20.5453627
30-Apr-2015,19.9894595
31-May-2015,19.5595009
30-Jun-2015,20.2978351
31-Jul-2015,20.5948339
31-Aug-2015,18.7935868
30-Sep-2015,20.0156226
31-Oct-2015,19.6427959
30-Nov-2015,18.9117661
31-Dec-2015,19.7934497
31-Jan-2016,19.4892901
29-Feb-2016,19.0200753
31-Mar-2016,19.054758
30-Apr-2016,19.4078699
31-May-2016,20.2581763
30-Jun-2016,21.0389393
31-Jul-2016,21.820337
31-Aug-2016,21.6528921
30-Sep-2016,21.3945028
31-Oct-2016,21.8429758
30-Nov-2016,22.5656113
31-Dec-2016,23.1332946
31-Jan-2017,22.8777409
28-Feb-2017,24.4982838
31-Mar-2017,22.8240799
30-Apr-2017,23.952702
31-May-2017,22.9510018
30-Jun-2017,23.8442763
31-Jul-2017,23.9618919
31-Aug-2017,24.4424677
30-Sep-2017,22.1412122
31-Oct-2017,23.3814074
30-Nov-2017,22.423099
31-Dec-2017,23.9251645
31-Jan-2018,21.4700245
28-Feb-2018,20.756535
31-Mar-2018,21.6120935
30-Apr-2018,21.0637156
31-May-2018,21.4218288
30-Jun-2018,22.9192525
31-Jul-2018,23.1099999
31-Aug-2018,23.4533501
30-Sep-2018,22.5052737
31-Oct-2018,23.439333
30-Nov-2018,23.3089405
31-Dec-2018,21.6978798
31-Jan-2019,21.3997281
28-Feb-2019,22.7342924
31-Mar-2019,21.9262816
30-Apr-2019,22.7480646
31-May-2019,21.5220541
30-Jun-2019,23.213705
31-Jul-2019,23.1397755
31-Aug-2019,23.2792748
30-Sep-2019,23.2216804
31-Oct-2019,23.1860992
30-Nov-2019,24.0345517
31-Dec-2019,22.830483
31-Jan-2020,22.293763
29-Feb-2020,22.747341
31-Mar-2020,23.4859649
30-Apr-2020,22.3300613
31-May-2020,23.9879349
30-Jun-2020,24.7814423
31-Jul-2020,23.4324974
31-Aug-2020,24.3992556
30-Sep-2020,22.1313127
31-Oct-2020,24.5162147
30-Nov-2020,20.8836466
31-Dec-2020,22.4119884
31-Jan-2021,23.2853526
28-Feb-2021,22.0817139
31-Mar-2021,22.9833663
30-Apr-2021,21.8064067
31-May-2021,22.1091244
30-Jun-2021,23.6900989
31-Jul-2021,25.3662322
31-Aug-2021,23.6772092
30-Sep-2021,22.9731303
31-Oct-2021,23.8402672
30-Nov-2021,23.4631088
31-Dec-2021,24.6694394
31-Jan-2022,21.727578
28-Feb-2022,22.6743258
31-Mar-2022,23.5721576
30-Apr-2022,25.7993725
31-May-2022,27.1165731
30-Jun-2022,30.4939605
31-Jul-2022,25.2704807
