WEEK,Y
04/01/2021,18556.286
11/01/2021,29261.311
18/01/2021,33343.869
25/01/2021,28903.695
01/02/2021,33277.194
08/02/2021,28289.512
15/02/2021,30243.949
22/02/2021,48591.463
01/03/2021,46193.512
08/03/2021,28359.817
15/03/2021,36483.445
22/03/2021,28516.745
29/03/2021,46466.559
05/04/2021,39113.067
12/04/2021,41222.091
19/04/2021,53752.945
26/04/2021,63006.869
03/05/2021,40312.855
10/05/2021,45313.409
17/05/2021,52078.153
24/05/2021,50030.64
31/05/2021,57051.953
07/06/2021,48593.829
14/06/2021,45309.939
21/06/2021,34046.708
28/06/2021,45138.277
05/07/2021,33089.208
12/07/2021,59184.784
19/07/2021,44373.684
26/07/2021,71559.031
02/08/2021,49587.537
09/08/2021,33029.599
16/08/2021,30169.793
23/08/2021,36762.391
30/08/2021,49522.798
06/09/2021,24226.397
13/09/2021,34429.379
20/09/2021,32339.117
27/09/2021,80027.413
04/10/2021,37242.027
11/10/2021,40579.66
18/10/2021,41010.339
25/10/2021,66262.843
01/11/2021,47649.989
08/11/2021,44292.457
15/11/2021,29838.185
22/11/2021,48051.154
29/11/2021,62836.916
06/12/2021,37400.211
13/12/2021,38195.351
20/12/2021,35404.994
27/12/2021,4298.315
03/01/2022,21465.971
10/01/2022,24662.93
17/01/2022,28917.92
24/01/2022,24042.106
31/01/2022,63785.986
07/02/2022,30068.472
14/02/2022,33731.073
21/02/2022,36569.43
28/02/2022,27786.801
07/03/2022,5796.676
14/03/2022,27926.167
21/03/2022,16465.101
28/03/2022,29352.582
04/04/2022,35843.283
11/04/2022,19880.313
18/04/2022,14990.306
25/04/2022,26338.445
02/05/2022,13406.549
09/05/2022,30455.741
16/05/2022,41993.289
23/05/2022,28298.725
30/05/2022,33030.793
06/06/2022,11194.59
13/06/2022,24096.613
20/06/2022,7081.566
27/06/2022,26693.339
04/07/2022,31295.2
11/07/2022,15654.324
18/07/2022,19567.791
25/07/2022,38628.822
01/08/2022,14653.189
08/08/2022,27524.645
15/08/2022,30679.386
22/08/2022,13835.489
29/08/2022,33411.134
05/09/2022,27596.924
12/09/2022,18086.979
19/09/2022,24974.477
26/09/2022,29234.621
03/10/2022,27965.361
10/10/2022,14889.651
17/10/2022,8029.6
24/10/2022,18665.677
31/10/2022,10890.803
07/11/2022,12288.315
14/11/2022,10735.258
21/11/2022,16350.706
28/11/2022,26798.312
05/12/2022,5851.134
12/12/2022,14293.882
19/12/2022,18558.788
26/12/2022,669.354
02/01/2023,10146.112
09/01/2023,9965.191
16/01/2023,12869.097
23/01/2023,5539.401
30/01/2023,8397.874
06/02/2023,21613.177
13/02/2023,11617.163
20/02/2023,10503.384
27/02/2023,18002.154
06/03/2023,10700.174
13/03/2023,17334.234
20/03/2023,5982.66
27/03/2023,22790.43
03/04/2023,13256.997
10/04/2023,11433.06
17/04/2023,25305.051
24/04/2023,7900.958
01/05/2023,5734.109
08/05/2023,12902.755
15/05/2023,18711.057
22/05/2023,24695.187
29/05/2023,14857.457
05/06/2023,10108.998
12/06/2023,13541.775
19/06/2023,14969.111
26/06/2023,31134.512
03/07/2023,18191.451
10/07/2023,38868.055
17/07/2023,15313.404
24/07/2023,27475.443
31/07/2023,15010.869
07/08/2023,27338.392
14/08/2023,8805.06
21/08/2023,27662.477
28/08/2023,28295.378
04/09/2023,10011.501
11/09/2023,17259.861
