WEEK,Y
04/01/2021,8365.442
11/01/2021,7345.31
18/01/2021,11609.846
25/01/2021,8635.902
01/02/2021,4843.609
08/02/2021,10153.507
15/02/2021,9540.039
22/02/2021,17642.53
01/03/2021,22691.66
08/03/2021,9146.821
15/03/2021,10493.34
22/03/2021,5756.4
29/03/2021,21380.942
05/04/2021,10539.71
12/04/2021,15244.263
19/04/2021,32874.033
26/04/2021,13864.74
03/05/2021,22471.44
10/05/2021,13336.248
17/05/2021,24020.738
24/05/2021,11488.52
31/05/2021,15358.892
07/06/2021,40861.854
14/06/2021,15994.167
21/06/2021,25792.411
28/06/2021,10811.266
05/07/2021,24557.59
12/07/2021,25746.32
19/07/2021,24436.37
26/07/2021,19711.76
02/08/2021,27166.314
09/08/2021,19154.45
16/08/2021,10860.154
23/08/2021,12386.045
30/08/2021,28861.831
06/09/2021,22078.106
13/09/2021,6702.613
20/09/2021,14918.327
27/09/2021,17529.43
04/10/2021,27546.387
11/10/2021,17012.784
18/10/2021,27956.017
25/10/2021,31754.068
01/11/2021,10605.65
08/11/2021,26771.96
15/11/2021,41351.644
22/11/2021,28054.402
29/11/2021,14095.604
06/12/2021,19238.155
13/12/2021,8441.879
20/12/2021,31727.94
27/12/2021,7133.176
03/01/2022,14403.743
10/01/2022,8628.961
17/01/2022,18804.91
24/01/2022,12455.84
31/01/2022,14805.4
07/02/2022,10179.494
14/02/2022,24713.83
21/02/2022,6907.683
28/02/2022,27088.5
07/03/2022,6668.44
14/03/2022,7610.339
21/03/2022,11512.14
28/03/2022,6636.35
04/04/2022,6979.389
11/04/2022,6015.248
18/04/2022,14839.564
25/04/2022,28011.839
02/05/2022,13910.115
09/05/2022,17136.089
16/05/2022,15811.11
23/05/2022,20784.808
30/05/2022,5056.786
06/06/2022,33732.929
13/06/2022,16009.32
20/06/2022,30752.786
27/06/2022,16231.002
04/07/2022,12917.4
11/07/2022,37371.93
18/07/2022,49056.803
25/07/2022,22265.507
01/08/2022,55115.684
08/08/2022,46179.072
15/08/2022,28644.124
22/08/2022,48621.451
29/08/2022,43035.598
05/09/2022,64721.083
12/09/2022,27624.42
19/09/2022,80212.733
26/09/2022,43486.404
03/10/2022,41901.654
10/10/2022,98197.239
17/10/2022,50908.052
24/10/2022,47796.559
31/10/2022,83380.375
07/11/2022,87038.693
14/11/2022,70689.909
21/11/2022,85968.155
28/11/2022,133706.503
05/12/2022,94120.352
12/12/2022,105484.621
19/12/2022,53037.276
26/12/2022,69994.743
02/01/2023,45235.307
09/01/2023,40171.609
16/01/2023,93948.043
23/01/2023,104926.552
30/01/2023,141574.972
06/02/2023,48528.432
13/02/2023,39957.888
20/02/2023,84831.313
27/02/2023,116220.478
06/03/2023,36295.417
13/03/2023,62105.976
20/03/2023,35347.204
27/03/2023,58912.11
03/04/2023,69403.803
10/04/2023,62075.132
17/04/2023,65845.062
24/04/2023,77419.243
01/05/2023,58115.957
08/05/2023,57934.495
15/05/2023,90331.182
22/05/2023,110388.503
29/05/2023,47657.308
05/06/2023,149442.056
12/06/2023,53084.35
19/06/2023,87439.577
26/06/2023,71149.039
03/07/2023,59689.167
10/07/2023,80808.199
17/07/2023,49205.26
24/07/2023,24832.042
31/07/2023,62711.242
07/08/2023,104635.018
14/08/2023,54935.232
21/08/2023,62871.478
28/08/2023,64155.578
04/09/2023,79579.046
11/09/2023,55976.717
